Unique_Habitat,Habitat_Classifier
clear ponds,PO
ponds in cultivated fields,PO
fresh water ponds,PO
permanent ponds,PO
stagnant ponds,PO
hyacinth ponds,PO
jungle ponds,PO
forest ponds,PO
shallow ponds,PO
ponded river,PO
spring-fed ponds,PO
lightly shaded permanent ponds,PO
weedy ponds,PO
grassy ponds,PO
vegetation in ponds,PO
artificial ponds,POA
vegetation in shallow margins of ponds,POM
shallow margins of ponds,POM
grassy shallow margins of ponds,POM
pond margins,POM
grassy pond margins,POM
pond edges,POM
pond margins with vegetation,POM
freshwater pond margins,POM
grassy pond edges,POM
margins of ponds,POM
grassy margins of ponds,POM
shady margins of ponds,POM
semipermanent pond,POT
pastures,PST
potholes,PTH
bomb crater,PTH
bomb craters,PTH
uprooted tree crater,PTH
clay crater,PTH
pot holes,PTH
holes in ground,PTH
rice fields,RC
rice field margins,RC
lowland rice fields,RC
rice paddies,RC
ricefields,RC
pools in trampled ricefields,RC
flooded ricefields,RC
rice bays,RC
fallow rice fields,RC
pools inside dry rice fields,RC
fallow rice fields with seepage water,RC
rice fields with seepages,RC
paddies,RC
road ruts,RD
roadside pools,RD
roadside puddles,RD
roadside ditches,RD
flooded roadside ditches,RD
abandoned road ruts,RD
temporary roadside pool,RD
roadside of cacao plantations,RD
roadside drain,RD
earthern roadside drains,RD
roadside excavations/ditches,RD
temporary road rut pool,RD
grassy rain-filled roadside gutter,RD
roadside seepage ponds,RD
grassy roadside ditches,RD
road rut,RD
grassy roadside pools,RD
muddy road pools,RD
small road puddles,RD
along roads,RD
road puddles,RD
road drains,RD
roadside seepage,RD
roadside seepage pond,RD
roadruts,RD
roadside ditch,RD
road ditches,RD
wide river valleys,RIV
rivers,RIV
pool margins on rivers,RIV
backwaters,RIV
water courses,RIV
holes in watercourses,RIV
mountain backwaters,RIV
jungle backwaters,RIV
pools along rivers,RIV
grassy river edges,RIV
large rivers,RIV
backwaters of rivers,RIV
small jungle rivers,RIV
small rivers,RIV
riverside pools,RIV
slow-running river,RIV
slow-moving rivers,RIV
large river pool,RIV
river tributary,RIV
rivers with aquatic vegetation,RIV
overgrown backwaters,RIV
soakage holes in dry river beds,RIVD
inlets of small rivers with rapid currents,RIVF
river margins,RIVM
river beds,RIVM
dirty pool by the river,RIVM
riversides with abundant pistia,RIVM
river edges,RIVM
river margins in forest,RIVM
undercut banks,RIVM
jungle riverbanks,RIVM
riverside pools in coral foothills,RIVM
grassy river margins,RIVM
river banks,RIVM
grassy spots along rivers or lagoons that have rich organic matter,RIVM
muddy river banks,RIVM
stagnant riverside pools,RIVM
riverside holes,RIVM
grassy sides of rivers,RIVM
pools in river beds,RIVM
sandy pools beside rivers,RIVM
riverbed pools,RIVM
riverbed rock pools,RIVRM
blocked mouth of tributary streams of larger rivers,RIVT
old cut-off river courses,RIVT
blocked mouths in tributary streams of larger rivers,RIVT
rockholes,RP
rock pools,RP
rockholes in mangroves,RP
rockholes,RP
rock holes,RP
unshaded rock-crevice pools,RP
rain-filled rockholes,RP
leaf-filled rock pools,RP
small rockholes,RP
rockholes,RP
rockpools,RP
holes in rocks,RP
rockfilled pools,RP
rocky pools,RP
rockholes (with fallen leaves),RP
rockholes,RP
shaded rockholes along a hillside spring,RP
semipermanent rock pools,RP
small crevices in boulders,RP
boulder rockholes,RP
rock crevices,RP
shaded rock pools,RP
partly shaded rock pools,RP
rockholes in boulders,RP
rock pools in eucalypt forests,RP
shallow rock crevice,RP
shallow rock pools with vegetable decay,RP
small watercourse from a rock pool,RP
boulders,RP
small open rock pool,RP
rockhole,RP
semi-rock pool,RP
spring-fed rock pool,RP
semipermanent rock holes,RP
temporary rock holes,RP
boulder,RP
mossy rock under waterfall,RP
rocky beds,RP
rocky valleys,RP
under overhanging stones,RP
rockholes in seashore,RPB
seaside rockholes,RPB
hypersaline rock pools,RPB
saline rock pools,RPB
seashore rockholes,RPB
tidal pools,RPB
coastal brackish rockholes,RPB
coastal brackish rock pools,RPB
coastline rock pools,RPB
saline/brackish rock pools (coastline),RPB
brackish tidal pools,RPB
seashore rockpools,RPB
tidal flats,RPB
mud flats,RPB
costal rock holes,RPB
coastal rock pools,RPB
brackish rock pools,RPB
seepage areas,SEP
ground seepage pools,SEP
clear seepage water,SEP
hillside seepages,SEP
seepage pools,SEP
cold seepage pools,SEP
seepage ponds,SEP
small seepage pools,SEP
shaded seepage areas,SEP
shallow leafy seepage pools,SEP
seepage,SEP
seepages,SEP
seepage holes,SEP
jungle seepage pools,SEP
seepage outcrops,SEP
sea shells,SHL
snail shell,SHL
mollusc shells,SHL
Tridacna (clam) shell,SHL
clam shells,SHL
shells,SHL
snail shells,SHL
giant calm shells,SHL
tridcana shell,SHL
shellholes,SHL
sand pockets,SND
pools in sand bars,SND
pools in sand banks,SND
sandy pools,SND
melting snow pools,SNW
woodland snowpools,SNW
snow pools,SNW
open meadow melted snow pools,SNW
shaded snow pools,SNW
Shaded melting snow pools,SNW
Deciduous and evergreen deep snow pools,SNW
melting shaded snow pools,SNW
snow-water pools,SNW
frozen-edged pools,SNW
melted snow pools,SNW
temporary melting snow pools,SNW
water beneath ice covering,SNW
solution holes on Big Ficus Hammock,SOL
springs,SPG
temporary spring pools,SPG
thermal pools,SPG
spring pools,SPG
shaded springs,SPG
cave springs,SPG
spring tide accumulations,SPG
spring-fed pool,SPG
jungle springs,SPG
hot springs,SPG
thermal outflows,SPG
murky springs,SPG
shaded-side pools along springs,SPG
seepage springs,SPG
spring-fed pools,SPG
rock-springs,SPG
stream margins below hot springs,SPG
valley of large stream,STM
small creeks,STM
cool jungle streams,STM
deeply shaded jungle stream,STM
jungle streams,STM
Forest streams,STM
densely shaded jungle streams,STM
sluggish swamp streams,STM
quiet protected streams,STM
sluggish streams,STM
sluggish streams with heavy vegetation growth,STM
backwaters of streams,STM
freshwater streams,STM
stream pools,STM
streams,STM
canyon streams,STM
partly sunlit stream pools with vegetation,STM
foothill streamlets,STM
streamlets,STM
mountain streamlets,STM
creeks,STM
slugglish streams,STM
ground pools along streams,STM
stream pools,STM
potholes along stream,STM
stream,STM
back water of streams,STM
very slow-flowing stream,STM
stream rich in decaying matter,STM
stream with dense canopy of foliage,STM
shaded shallow stream pools,STM
leafy shaded stream pool,STM
shallow crevice in mountain current,STM
saline creeks,STM
terminal pool in jungle stream,STM
potholes in streams,STM
small flooded creeks,STM
water-worn holes in creek,STM
small pool in tributary of a creek,STM
creek pothole,STM
creek potholes,STM
muddy creeks,STM
flowing streams,STM
clear running creeks,STM
mountain streams,STM
large stream pools,STM
shaded stream pools in forests,STM
running creeks,STM
stream-fed pools,STM
forest spring/stream fed pools,STM
weed-edged creek near rainforest,STM
hill streams,STM
slow running streams,STM
stream mouths draining into coastal lagoons,STM
small streams,STM
shaded streams,STM
shaded jungle streams,STM
backwater of creek,STM
shaded pothole in creek,STM
creek pools,STM
small stream pools,STM
stream-side pools,STM
slow streams,STM
forest streams,STM
polluted creeks,STM
slow-moving streams,STM
stream backwaters,STM
mountain stream backwaters,STM
eucalypt forest streams,STM
slow-flowing streams,STM
shaded creek pools,STM
sandy streams,STM
forest creeks,STM
slow moving streams,STM
heavily shaded stream pools,STM
flooded streams,STM
forest stream,STM
stagnant streams,STM
running water,STM
slow running shallow water,STM
slow running water,STM
sunlit drying streams,STMD
drying stream beds,STMD
drying stream pools,STMD
drying/intermittent stream pools,STMD
rockpools of drying stream beds,STMD
gravel-bottomed residual pools in dry stream bed,STMD
pits in drying out creeks,STMD
drying stream bed pools,STMD
torrent edges,STMF
stream margins,STMM
stream beds,STMM
margins of creeks,STMM
edge of small flood stream,STMM
stream side pools,STMM
shallow pools along stream margins,STMM
margins of slow moving streams,STMM
freshwater creek margin,STMM
overflow pools along streams,STMM
recently filled stream beds,STMM
pools in stream beds,STMM
stream bed pools,STMM
pools in mountain stream beds,STMM
large stream pool beds,STMM
shaded stream bed pools,STMM
stream overflows,STMM
flooded stream margins,STMM
edge of streams,STMM
margins of streams,STMM
overflow of mountain streams,STMM
temporary pools (overflow of streams),STMM
mountain stream margins,STMM
grassy stream margins,STMM
stream edges,STMM
creek bed pools,STMM
sluggish stream margins,STMM
shaded grassy stream margins,STMM
margin of stream,STMM
potholes in stream beds,STMM
stream overflow pools,STMM
backwaters in creekbeds,STMM
small ground pools near streams,STMM
scour pools in sandy creek beds,STMM
isolated ground pools near streams,STMM
stream margins in forests,STMM
clear shaded pool by stream,STMM
edges of slow running creeks,STMM
running stream margins,STMM
pools along stream margins,STMM
hoof marks in pebble bars on the edges of creeks,STMM
stream bed potholes,STMM
grassy banks of running streams,STMM
small pools besides streams,STMM
rainforest stream edges,STMM
edge of running stream,STMM
creek beds,STMM
shady creek margins,STMM
shaded-side pools along streams,STMM
creek margins,STMM
stream banks,STMM
creeklines,STMM
mountain stream beds,STMM
small deep holes near streams,STMM
grassy sides of streams,STMM
streams with grassy margin ditches,STMM
clear streams with grassy margins,STMM
sand pools next to streams,STMM
grassy edged streams,STMM
dense shaded margins of running streams,STMM
rockholes along mountain streams,STMRM
rock pools along streams,STMRM
pools of rocky stream beds,STMRM
rock crevices along jungle streams,STMRM
shaded rockholes along stream banks,STMRM
rock pools of shaded streams,STMRM
rockholes along streams,STMRM
shaded rock pools by streams,STMRM
creekbed rock pools,STMRM
streamside rockholes,STMRM
rock pools in streams,STMRM
isolated rock pools near streams,STMRM
rock pools in mountain stream,STMRM
rock pool in mountain stream,STMRM
stream rockpools,STMRM
rocky mountain stream,STMRM
rock pools in stream beds,STMRM
rock pool in stream bed,STMRM
rocky pools in stream beds,STMRM
stream rockholes,STMRM
rock pools along stream margins,STMRM
rocky stream bed pools,STMRM
rocky creek pools,STMRM
stream bed rock pool,STMRM
stream bed rock pools,STMRM
rocky creeklines,STMRM
pools in dried stream beds,STMT
dried stream beds,STMT
blocked streams,STMT
shaded blocked streams,STMT
pools in blocked stream beds away from coast,STMT
blocked stream beds,STMT
blocked/intermittent streams,STMT
temporary stream pool,STMT
temporary pools in side channel of a stream,STMT
obstructed streams,STMT
blocked stream bed pools,STMT
blocked stream pools,STMT
swamps,SW
dense jungle swamps,SW
swamps with Nipa palms,SW
jungle swamps,SW
freshwater swamps,SW
swamp,SW
temporary pools in open swamps,SW
shady mangrove swamps,SW
mangrove swamps,SW
swamp margins,SW
swamp dicthes,SW
vegetatious swamps,SW
flooded swamp margins,SW
open swamps,SW
Carex swamps,SW
brackish swamps,SW
cottonwood flood swamps,SW
stagnant swamp,SW
jungle swamps with dense vegetation,SW
permanent swamps among roots of trees,SW
swamp pools,SW
permanent jungle swamps,SW
plant growing in densely shaded nipa swamp,SW
small pockets of water at edge of swamps,SW
undisturbed jungle swamps,SW
swamps with extremely dense vegetation,SW
edge of swamp with no exposed water until artificial depression made,SW
edge of swamp,SW
heavily shaded overgrown freshwater swamps,SW
grassy swamp,SW
margins of swamps,SW
open swamp with full sun and floating vegetation,SW
freshwater swamp margins,SW
brackish mangrove swamps,SW
semi-permanent swamps,SW
sago swamps,SW
swamp margins in partial forest,SW
root caves at swamp margins in deep shade,SW
swamp areas,SW
grassy pools in swamps,SW
shady pool in sago palm swamps,SW
grassy swamps,SW
grass edged swamps,SW
teatree swamps,SW
shallow winter swamp,SW
shady shallow pools near swamps,SW
freshwater swamp,SW
tidal swamps,SW
edge of mangrove swamp,SW
mangrove swamp proper,SW
nipa palm swamp,SW
ground pools in sago swamps,SW
Pandanus swamp ground pools,SW
pools in swampy areas of teatree,SW
pools near sago swamps,SW
taro swamp gardens,SW
swamp edge pools,SW
forest swamp in temporary ground pool,SW
pig wallow in sago swamp,SW
deep shady swamps,SW
hyacinth swamps,SW
sedge swamps,SW
gum swamps,SW
deep swamps,SW
shallow overgrown swampy pools,SW
grassy swamp edges,SW
duckweed swamp,SW
stream originating from jungle swamps,SW
shallow weedy margins of freshwater swamps,SW
large jungle swamps,SW
grassy swamp margins,SW
Pandanus swamps,SW
shallow grassy swamp margins,SW
coastal swamps,SW
Pandanus swamp,SW
swamp forest,SW
open swamp,SW
sago swamp,SW
drainage swamps,SW
large swamps open to sunlight,SW
clear stagnant swamps with muddy bottoms,SW
spring-fed swamp,SW
drying pools on the edges of swamps,SW
forest swamps,SW
large swamps with lots of vertical vegetation,SW
nipa palm swamps,SW
shallow swamps,SW
taro swamps,SW
shaded swamps,SW
swamp depressions,SW
swampy pools,SW
open sago swamps,SW
stagnant swamps,SW
flax swamps,SW
swampy waterholes,SW
swamp forests,SW
sago swamp pools,SW
Pandanus swamp margins,SW
freshwater jungle swamps,SW
swamp ground pools,SW
large fresh water swamps,SW
secondary swamp forests,SW
flooded swamps,SW
unshaded mangrove swamps,SW
edges of swamps,SW
densely shaded swampy areas with aquatic vegetation,SW
vegetation in swamps,SW
brackish puddle in nipa palm swamp,SWB
saline mangrove swamp,SWB
sewage plants,SWG
sewerage ditches,SWG
sewage drainage,SWG
irrigation channels from piggeries bacon factories sewage,SWG
sewage lagoons,SWG
sewage drains,SWG
sewage,SWG
treeholes,TH
tree stumps,TH
hole in coconut trunk,TH
rot tree holes,TH
stumpholes,TH
treehole (very rare),TH
water filled rot cavities,TH
tree hole rot cavities,TH
tree holes,TH
roots of water spoon (Hydromystria stolonifera),LK
roots of water lettuce (Pisita stratiotes),LK
large treeholes,TH
rotholes,TH
mangrove treeholes,TH
rootholes,TH
logs,TH
oak tree rotholes,TH
root holes,TH
treeholes (commonly oak trees),TH
rot cavities,TH
rot cabities (commonly in willows),TH
stump holes,TH
aerial roots of black mangroves,SW
under stems and roots,TH
rotholes (stump or tree),TH
stumps,TH
treeholes less than 200m in tropical rainforests,TH
treeholes at 2070m,TH
treeholes at 2500m,TH
rothole of fallen tree around 2400m in a cloud forest,TH
treehole,TH
sago stumps,TH
papaya stumps,TH
hole among tree roots,TH
fern stumps,TH
root of swamp fern,TH
fallen tree holes,TH
plant roots in swamp,TH
roots of swamp fern,TH
muddy water found in treeholes,TH
holes in tree roots,TH
tree forks,TH
fern trees,TH
log holes,TH
tree buttress,TH
rotholes,TH
mangrove rotholes,TH
broken branches,TH
forest hollow,TH
treeholes (rotholes),TH
tree cavities,TH
rainforest treeholes,TH
log crevices,TH
tree hollow,TH
treeholes (kurrajong and river oak),TH
log stumps,TH
log cavities,TH
shaded treeholes,TH
coconut treeholes,TH
banana tree holes,TH
rotholes of cream-of-tarter trees,TH
treeholes (eucalypts mango cocky apple tea-tree),TH
palm trees,TH
shaded log hole in rainforest,TH
teatree branch,TH
eucalypt stump,TH
treeholes near swamps,TH
mangrove trunks,TH
tree cavities (Poinciana regia Bilber ia spp. flowering pineapples Adansoniagregoryi Baobab tree),TH
small treeholes,TH
treeholes/stumps,TH
treeholes,TH
breadfruit treehole,TH
stump of tree fern,TH
baobab treehole,TH
fallen tree,TH
logholes,TH
treeholes/cavities,TH
tree buttresses,TH
aerial root cavities,TH
limb crotches,TH
cut stem of wild banana,TH
tree fern stump,TH
steps cut in coconut tree stems,TH
buttress root cavities,TH
tree fern stumps,TH
rotting papaya stump,TH
fallen tree trunk,TH
groove in fallen tree,TH
rothole of tree growing in stream bed,TH
buttress root pools,TH
reeds or roots in waterholes,TH
water pool on fallen tree,TH
rotting tree stumps,TH
banana stumps,TH
hollow trees,TH
grass roots in pit,TH
roots in swamp drain,TH
coconut treehole,TH
internodes of cut bamboo,TH
hollow stumps,TH
fallen trees,TH
tree axils,TH
decayed sago trunks,TH
hollowed sago trunks,TH
sago palm stump,TH
sago palm stumps,TH
buttress root cavity,TH
swampy fern roots,TH
plant roots,TH
swamp fern roots,TH
dead treehole,TH
tree crevices,TH
buttresses,TH
eucalypt stumps,TH
hollow tree stumps,TH
stump hole,TH
bloodwood stumps,TH
root buttresses,TH
deep shaded log holes,TH
roots,TH
tree hole,TH
fallen logs,TH
hollow tree trunks,TH
coconut palm trunk,TH
coconut trees,TH
rot hole,TH
deep buttressed roots,TH
cut tree trunks,TH
hollow tree stumps during wet season,TH
wet season water filled stumps,TH
hollowed out trees,TH
hollow stumps,TH
tidal stream heads,TSTM
tidal creeks,TSTM
sweet potato bed ditches,VEG
vegetable paddies,VEG
volcanic rock holes,VLC
volcanic rock,VLC
volcanic rockhole,VLC
volcanic streamside rockholes,VLC
volcanic rockholes,VLC
lava rockholes,VLC
lava rock pools,VLC
ruts,VTR
wheel ruts,VTR
vehicle tracks,VTR
wheel tracks,VTR
wheelruts,VTR
small wheel tracks,VTR
tire ruts,VTR
