Record_ID,Presence-Absence,Shaded (Shaded/Semishaded/Unshaded),Saltwater (Yes/No),Habitat_1,Habitat_2,Habitat_3,Habitat_4,Habitat_5,Habitat_6,Habitat_7,Habitat_8,Habitat_9,Habitat_10,Habitat_11,Habitat_12,Habitat_13,Habitat_14,Habitat_15,Habitat_16,Habitat_17,Habitat_18,Habitat_19,Habitat_20,Habitat_21,Habitat_22,Habitat_23,Habitat_24,Habitat_25,Habitat_26,Habitat_27,Habitat_28,Habitat_29,Habitat_30,Habitat_31,Habitat_32,Habitat_33,Habitat_34,Habitat_35,Habitat_36,Habitat_37,Habitat_38,Habitat_39,Habitat_40,Habitat_41,Habitat_42,Habitat_43,Habitat_44,Habitat_45,Habitat_46,Habitat_47,Habitat_48,Habitat_49,Habitat_50,Notes
sp0000000781,Presence,,,teatree shrub,peat swamps,ground pools,grassy swamps,sparse woodland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000782,Presence,,,flood pools,temporary pools,reservoirs,swamps,stream margins,stream bed pools,freshwater ponds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000783,Presence,,,wells,casual pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000785,Presence,,,flooded rabbit burrows,wombat burrows,forest pits (some connected with crayfish holes),shaded ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000786,Presence,,,brackish water,freshwater swamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000787,Presence,,,open clear pools,grassy pools,flooded rabbit burrows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000788,Presence,,,rain pools,grass edged swamps,shaded ground pools,teatree swamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000789,Presence,,,large prospect holes,grassy swamps,shallow ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000790,Presence,,,shallow ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000791,Presence,,,overflow of bore and windmill,town culverts,drains,swamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000792,Presence,,,small watercourse from a rock pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000793,Presence,,,ground pools containing leaves and twigs,tree base pits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000795,Presence,,,grassy pool,waterlogged rabbit warren,road culvert,roadside drain,shallow winter swamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000796,Presence,,,grassy flood pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000797,Presence,,,furrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000798,Presence,,,flooded rabbit burrows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000799,Presence,,,rain pools,sparse woodlands,pits made by uprooted trees,shady ground pools,grassy swamps,teatree swamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000800,Presence,,,open grassy water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000801,Presence,,,shady shallow pools near swamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000802,Presence,,,shallow leafy pools,dams,swamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000803,Presence,,,shallow leafy pools,shady pools,water beneath ice covering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000804,Presence,,,depressions,water courses,hoof prints,swamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000805,Presence,,,peaty swamp pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000807,Presence,,,casual pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000808,Presence,,,rock pools,rain pools,earthern roadside drains,slit trench,scour pools in sandy creek beds,freshwater pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000811,Presence,,,shaded ground pools,pits,pools under uprooted trees,flooded rabbit warrens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000812,Presence,,,freshwater swamp,fresh soak with grass in open paddock,roadside drain,slit trench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000813,Presence,,,casual pools,shallow pools,roadside ditches,irrigation channels,shallow mining pits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000814,Presence,,,roadside pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000815,Presence,,,shallow cloudy pools,woodlands,shallow valleys,plains with sparse bush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000815,Absence,,,dense forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000816,Presence,,,roadside excavations/ditches,waterhole in watercourse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000817,Presence,,,temporary freshwater pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000818,Presence,,,roadside ditches,cattle dam,drainage ditches,horse trough,rush bordered pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000819,Presence,,,casual rain pools,grassy-edged gutters,hoof prints with grassy margins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000821,Presence,,,earthbound pools,depressions by king tides,mangroves,Salicornia flats,spring tide accumulations,tidal stream heads,mangrove trunks,coastal flats,stagnant shallow pools,brackish water exposed to sunlight,saltwater couch flats,tidal swamps,damp soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000821,Absence,,,deep pools (deeper than 18 inches),shaded pools,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000822,Presence,,,grassy sunlit pools,rain pools,flood pools,irrigation pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000823,Presence,,,small shaded pools,crabholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000824,Presence,,,freshwater pools along watercourses,roadside ditches,saline creeks,grassy earth dam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000825,Presence,,,freshwater crabholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000826,Presence,,,teatree swamps,peaty soil,shallow well (earthen walls covered with wooden slabs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000827,Presence,,,holes in watercourses,grassy pools,shaded ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000828,Presence,,,edge of mangrove swamp,mangrove swamp proper,crabholes,obstructed earth drains,large containers (tins canoes),brackish tidal pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000829,Presence,,,rainwater tanks,tree cavities (Poinciana regia Bilber ia spp. flowering pineapples Adansoniagregoryi Baobab tree),cistern,ornamental plant (Dracaena hookeriana),mine,lavatories attached to passenger carriages,tin,rotholes,roof gutters,liquid manure,brick- and cement-lined,plantation homesteads,flower vases,ant traps,water holding paint brushes,taro pits,uncovered water drums,coconut shells,cut bamboo,rock wells near seashore,axils of Alocasia macrorhiza (ape) Bilbergia thyrsoidea (pineapple lily) and Crinum asiaticum (spider lily),drains,tyres and motor parts,bathroom-tanks,artificial containers,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000831,Presence,,,coconut husks,small treeholes,leaf axils of sago and taro,old tin,rainwater barrel,coral pockets,rockholes,jungle pools,lagoon,beached canoes,artificial containers,swamps,fallen leaves,fallen palm fronds,bamboos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000832,Presence,,,bamboo stumps,treeholes/stumps,leaf axils of Bilbergia Crinum Alocasia and Pandanus,squirrel-gnawed coconuts,fallen palm fronds,rockholes,artificial containers (tanks tins),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000835,Presence,,,bamboo stumps,treeholes,bamboo internodes/cups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000836,Presence,,,treeholes,dry coconut husk,coral limestone depressions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000837,Presence,,,coconut shells,axils of Pandanus Alocasia taro,canoes,artificial containers,coral rockholes,treeholes,fallen fronds,cisterns,drums,tyres,tins,lubrication pit,drain,wheel drum,bottle,tub,flower pot,double sink,cooking pot,wooden bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000839,Presence,,,treeholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000842,Presence,,,treeholes,stumps,leaf axils,coconut shells,rock holes,artificial containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000844,Presence,,,treeholes,coconut husks,sagging tents,wooden frames,rain barrels,rockholes,cans,drums,tanks,canoes,transient pools,hollow log drum,coral pools,boulders,palm spathe,mollusc shells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000845,Presence,,,breadfruit treehole,Tridacna (clam) shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000846,Presence,,,small open rock pool,coconut shells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000847,Presence,,,treeholes,stump of tree fern,large tin,barrels,bamboo stumps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000848,Presence,,,drums,tyres,large machine,eskies,foam packaging,sea shells,aluminium container with plant cuttings,metal buckets,engine casting,tins,vehicle bodies,unused washing machine,vehicle hub cap,overfull pot plants,bath beneath a tree,ice-cream contianers,plastic buckets,watering can,bamboo stumps,camp oven,baobab treehole,flower bracts of Curcuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000849,Presence,,,borrow pits,well,crabholes,volcanic rockholes,treeholes,fallen tree,fallen frond,coconuts,Pandanus leaf axils,coconut spathes,artificial containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000851,Presence,,,small simple containers,coconut shells/husks,treeholes,wells,base of coconut fronds,barrels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000855,Presence,,,treeholes,bamboo stumps,artificial containers (tin cans water jars buckets broken bottles tyres),coconut shells (halves husks spathes),rockholes,logholes,fallen leaves,palm fronds,rockpools of drying stream beds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000856,Presence,,,treeholes/cavities,wooden frames,coconut husks,taro leaf axils,artificial containers,seashore rockpools,discarded paint pail,discarded truck tyre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000857,Presence,,,artificial containers,coconut shells,rock pools,treeholes,base of coconut fronds,bracts of coconut flower breadfruit banana,rat-eaten coconuts,tree buttresses,aerial root cavities,limb crotches,crabholes and lobsterholes,cisterns,rain barrels,tubs,drums,bottles,tin cans,motor tyres,machinery parts,junk,canoes,taro pits,animal drinking pans,ant guards,metal pipes used as fence posts,clam shells,roof gutters,sea shells,cacao pods,,,,,,,,,,,,,,,,,,,,,,
sp0000000859,Presence,,,rotholes,split coconut shells,artificial containers,old tyres,coconut spathes,crabholes,leaf axils of taro and Pandanus,standing water,broken shells of calabash,bamboo fences,cut stem of wild banana,latrine pits,native gongs,tins,rubbish dumps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000859,Absence,,,running water,drains,ponds,ditches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000860,Presence,,,treeholes,coconut shells/husks,artificial containers,Pandanus leaf axils,ground pools,coral pockets,lava rockholes,tin can,drums,tanks,truck tyres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000861,Presence,,,tree fern stump,treeholes,coconut shells/husks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000863,Presence,,,treeholes,coconut shells,tin cans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000865,Presence,,,coconut shells/husks,rotholes,tin cans,house tanks,beached canoes,bottles,shells,cement drains,wells,papaya,tree stumps,steps cut in coconut tree stems,tree wells,buttress root cavities,rat-eaten coconut fruits on trees,crabholes,coral stone pools,lava rock pools,cartons,discarded shoes,tyres,barrels,cans,gutters,clam shells,oil drums,fallen coconut fronds,split bamboo,puddles,flower bracts of Curcuma,pails of clear water,sardine cans,wrecked aircraft,old tarpaulins,transient pools,artificial containers,,,,,,,,,,,,,,,
sp0000000865,Absence,,,cans or bottles with narrowly constricted tops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000867,Presence,,,treeholes,artificial containers,coconut shells and spathes (damaged coconut as well),leaf axils of taro and Pandanus,tree fern stumps,crabholes,clam shells,190-litre drums,seal toilets,concrete cistern,metal cisterns,tins,tyres,bottle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000868,Presence,,,treeholes,fallen tree,fallen damaged coconuts,coconut spathes,artificial containers,whale oil container,bucket in a bush,tree wells,rotting papaya stump,axils of Pandanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000868,Absence,,,ground pools,leaf axils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000869,Presence,,,Pandanus leaf axils,treeholes,leaf axil of Spiny Palm,rainwater drum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000870,Presence,,,tree fern stump,fallen tree trunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000871,Presence,,,tree fern stump,groove in fallen tree,canoes,fallen Pandanus leaf,Tridacna (clam) shell,rain barrels,Pandanus axils,iron drum,small artificial container,rat-gnawed coconuts,treeholes,coconut husks/shells/spathes,log holes,tree stumps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000874,Presence,,,mangrove swamps,brackish tidal pools,terminal pool in jungle stream,nipa palm swamp,leaf-filled ground pools,hoof prints along coast,small ditches,small marshy depressions,coastal villages,orchard plantation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000875,Presence,,,jungle habitats,rockholes,tin cans,gravel-bottomed residual pools in dry stream bed,temporary road rut pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000876,Presence,,,ground pools in sago swamps,jungle ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000877,Presence,,,rothole of tree growing in stream bed,rock pools in streams,potholes in streams,small flooded creeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000878,Presence,,,water-worn holes in creek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000879,Presence,,,shaded temporary ground pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000880,Presence,,,Pandanus swamp ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000881,Presence,,,pools in swampy areas of teatree,lakes,puddles,swamps,ponds,borrow pit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000884,Presence,,,small pool in tributary of a creek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000885,Presence,,,partly shaded pools,pools at jungle borders,pools near sago swamps,shallow fishpond,grass-covered plantation drains,shallow grassy pools,muddy ditches,hoof marks,temporary ground pools,taro swamp gardens,puddles,creek pothole,rockhole,rain barrel,old kettle with rainwater,marshes,road ruts,hoof prints,transient pools,taro irrigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000886,Presence,,,shaded jungle ground pools,swamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000889,Presence,,,temporary ground pools,swamp,tree buttresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000890,Presence,,,temporary ground pools,tree buttresses,shallow pools in garden areas,forest pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000892,Presence,,,beached canoe,brackish puddle in nipa palm swamp,small ground pool in coastal village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000893,Presence,,,crayfish hole in rainforest,swamp edge pools,transient pools,crabholes,puddles,rockholes,creek potholes,temporary ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000896,Presence,,,flooded forest area in temporary ground pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000897,Presence,,,forest swamp in temporary ground pool,forest pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000898,Presence,,,small muddy temporary pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000899,Presence,,,pig wallow in sago swamp,shallow footprints in dense forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000900,Presence,,,ground pools,buttress root pools,grassy rain-filled roadside gutter,temporary pools in side channel of a stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000902,Presence,,,forest swamp in temporary ground pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000904,Presence,,,temporary ground pool in forest areas (formed by buttress roots),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000905,Presence,,,flooded areas,buttress root pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000908,Presence,,,deep shady swamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000909,Presence,,,freshwater sedge,teatree swamps,heath flats,streams,weedy pools,muddy creeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000910,Presence,,,shaded pools,ditches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000911,Presence,,,shaded vegetated permanent water bodies,freshwater swamps,hyacinth swamps,reeds or roots in waterholes,stream margins,roadside seepage ponds,borrow pits,flowing streams,ponded stream,ricefields,old cut-off river courses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000913,Presence,,,swamps,ricefields,sewerage ditches,ground pools with buffalo dung and urine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000917,Presence,,,clear running creeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000918,Presence,,,teatree swamps,sedge swamps,gum swamps,shallow waterhole,peaty hollows,soak holes,footprints,water between tussocks,gully in scrub,mountain streams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000921,Presence,,,forest pools,isolated rock pools near streams,isolated ground pools near streams,stream pools,stream margins,small seepage pools,water pool on fallen tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000924,Presence,,,deep ponds,deep swamps,city moat,large open marshes,large stream pools,ricefields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000925,Presence,,,shaded stream pools in forests,stream margins in forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000926,Presence,,,mountain pools,mountain backwaters,semi-rock pool,clear shaded pool by stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000928,Presence,,,clear shady mountian pools,clear shady forest pools,shaded seepage areas,rock pools,undercut banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000929,Presence,,,shallow overgrown swampy pools,flowing streams,spring-fed rock pool,shallow leafy seepage pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000930,Presence,,,jungle pools,jungle backwaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000932,Presence,,,grassy swamp edges,ground pools,slow running shallow water,grassy roadside ditches,rock pools,running creeks,muddy pools,rain pools,oil drum,duckweed swamp,fallen palm fronds,spring-fed pool,rivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000933,Presence,,,coastal plains,open swamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000935,Presence,,,cold water shaded by trees,stream-fed pools,edges of slow running creeks,pits in drying out creeks,rock pools,forest spring/stream fed pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000936,Presence,,,fallen leaves and sticks in backwaters of flowing creek in a rock gully,rock pools in mountain stream,weed-edged creek near rainforest,shallow shaded edge of freshwater lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000937,Presence,,,teatree swamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000939,Presence,,,slow running water,jungle springs,ricefields,grassy stream margins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000940,Presence,,,ricefields,grass edged freshwater ponds,running water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000941,Presence,,,shallow muddy pools,pools formed by drying of larger temporary ground pools,swamp margins,running water,rock pools,hoof marks at the edge of billabongs,soakage holes in dry river beds,slit trenches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000941,Absence,,,polluted water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000942,Presence,,,ricefields,freshwater fish ponds,hill streams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000943,Presence,,,jungle swamps,stream originating from jungle swamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000944,Presence,,,ground pools,rock pools,artificial containers,uncovered wells,algal streams,hoof marks near rivers and dams,running stream margins,ricefields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000944,Absence,,,transient wet season pools with high surface film temperatures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000945,Presence,,,road rut,pools,ditches,between gravel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000947,Presence,,,semipermanent ground pools,swamps,lagoons,ponds,manmade borrow pits,pig wallows,garden pools,pools along rivers,pools along stream margins,ponds with duckweed,tins,drums,coconut shells,canoes,coral pit holes,hot springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000949,Presence,,,slow running water,streams,seepage,grassy river edges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000950,Presence,,,saline pools,muddy pools,slit trenches,shallow weedy margins of freshwater swamps,ricefields,natural and man-made sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000955,Presence,,,slow running water,streams,seepage,grassy pools,ruts in bogs,hoofprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000956,Presence,,,small shallow open collections of water,small pools,stagnant drains,buffalo wallows,hoofprints,ricefields,pools in trampled ricefields,freshwater fish ponds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000957,Presence,,,Grasslands pools,jungle edge pools,irrigation ditches,earth drains,footprints,wheelruts,sago swamps,shallow fish ponds,ditches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000970,Presence,,,shaded ground pools,large jungle swamps,overgrown backwaters,jungle riverbanks,jungle fringes,exposed temporary puddle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000971,Presence,,,slow running streams,large rivers,rock pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000972,Presence,,,seepages,stream margins,rock holes,temporary jungle pools,coastal coconut groves,pig wallows,old steel helmets,stream mouths draining into coastal lagoons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000973,Presence,,,seepages,springs,small streams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000974,Presence,,,grassy swamp margins,muddy pools,hoof marks,teatree swamps,Pandanus swamps,backwaters of rivers,hoof marks in pebble bars on the edges of creeks,wheel ruts,bomb crater,rainwater drum,flooded ricefields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000974,Absence,,,slit trenches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
